year,school-1,school-2,score-1,score-2,school-1-result
2010,Brookline,Walpole,,,
2010,Brookline,Wellesley,,,
2010,Brookline,Weymouth,,,
2010,Dedham,Framingham,,,
2010,Dedham,Natick,,,
2010,Dedham,Needham,72,99,L
2010,Dedham,Newton North,,,
2010,Dedham,Norwood,,,
2010,Dedham,Walpole,,,
2010,Dedham,Wellesley,,,
2010,Dedham,Weymouth,,,
2010,Framingham,Natick,,,
2010,Framingham,Needham,87,99,L
2010,Framingham,Newton North,,,
2010,Framingham,Norwood,,,
2010,Framingham,Walpole,,,
2010,Framingham,Wellesley,,,
2010,Framingham,Weymouth,,,
2010,Natick,Needham,79,105,L
2010,Natick,Newton North,,,
2010,Natick,Norwood,,,
2010,Natick,Walpole,,,
2010,Natick,Wellesley,,,
2010,Natick,Weymouth,,,
2010,Needham,Newton North,97,87,W
2010,Needham,Norwood,100,80,W
2010,Needham,Walpole,,,L
2010,Needham,Wellesley,,,W
2010,Needham,Weymouth,85,75,W
2010,Newton North,Norwood,,,
2010,Newton North,Walpole,,,
2010,Newton North,Wellesley,,,
2010,Newton North,Weymouth,,,
2010,Norwood,Walpole,,,
2010,Norwood,Wellesley,,,
2010,Norwood,Weymouth,,,
2010,Walpole,Wellesley,,,
2010,Walpole,Weymouth,,,
2010,Wellesley,Weymouth,,,
2009,Braintree,Brookline,,,
2009,Braintree,Dedham,,,
2009,Braintree,Framingham,,,
2009,Braintree,Natick,,,
2009,Braintree,Needham,,,
2009,Braintree,Newton North,,,
2009,Braintree,Norwood,,,
2009,Braintree,Walpole,,,
2009,Braintree,Wellesley,,,
2009,Braintree,Weymouth,,,
2009,Brookline,Dedham,,,
2009,Brookline,Framingham,,,
2009,Brookline,Natick,,,
2009,Brookline,Needham,,,L
2009,Brookline,Newton North,,,
2009,Brookline,Norwood,,,
2009,Brookline,Walpole,,,
2009,Brookline,Wellesley,,,
2009,Brookline,Weymouth,,,
2009,Dedham,Framingham,,,
2009,Dedham,Natick,,,
2009,Dedham,Needham,,,
2009,Dedham,Newton North,,,
2009,Dedham,Norwood,,,
2009,Dedham,Walpole,,,
2009,Dedham,Wellesley,,,
2009,Dedham,Weymouth,,,
2009,Framingham,Natick,,,
2009,Framingham,Needham,,,L
2009,Framingham,Newton North,,,
2009,Framingham,Norwood,,,
2009,Framingham,Walpole,,,
2009,Framingham,Wellesley,,,
2009,Framingham,Weymouth,,,
2009,Natick,Needham,,,W
2009,Natick,Newton North,,,
2009,Natick,Norwood,,,
2009,Natick,Walpole,,,
2009,Natick,Wellesley,,,
2009,Natick,Weymouth,,,
2009,Needham,Newton North,,,
2009,Needham,Norwood,,,
2009,Needham,Walpole,93,93,T
2009,Needham,Wellesley,101,83,W
2009,Needham,Weymouth,,,W
2009,Newton North,Norwood,,,
2009,Newton North,Walpole,,,
2009,Newton North,Wellesley,,,
2009,Newton North,Weymouth,,,
2009,Norwood,Walpole,,,
2009,Norwood,Wellesley,,,
2009,Norwood,Weymouth,,,
2009,Walpole,Wellesley,,,
2009,Walpole,Weymouth,,,
2009,Wellesley,Weymouth,,,
2008,Braintree,Brookline,,,
2008,Braintree,Dedham,,,
2008,Braintree,Framingham,,,
2008,Braintree,Natick,,,
2008,Braintree,Needham,76,96,L
2008,Braintree,Newton North,,,
